"","gene_name","antibody_name","RNASeq_name","RPPAFC","RNAFC","log2RPPAFC","log2RNAFC","max_log_FC","max_RPPAorRNA"
"84","PTEN","PTEN","ENSG00000171862.5",3.04400388204395,1.79829124065388,1.60597019872384,0.846626690163251,1.60597019872384,"RPPA"
"85","PXN","Paxillin_Caution","ENSG00000089159.11",0.902285496143561,1.05977088996326,-0.148344099654338,0.0837524047505045,-0.148344099654338,"RPPA"
"86","RAB25","Rab25","ENSG00000132698.9",1.30586354899672,0.88961980345655,0.385004156095445,-0.168739191234038,0.385004156095445,"RPPA"
"87","RAD50","Rad50","ENSG00000113522.9",0.994591656667609,1.03684143321168,-0.0078237660337903,0.0521952760113483,0.0521952760113483,"RNA"
"88","RAD51","RAD51","ENSG00000051180.12",0.96670124975644,0.960583969197921,-0.0488579881088821,-0.0580163626722732,-0.0580163626722732,"RNA"
"89","RBM15","RBM15","ENSG00000162775.10",0.809545865242818,0.908082871775412,-0.304815275404744,-0.139104130803133,-0.304815275404744,"RPPA"
"90","RPS6KA3","RSK1-2-3_Caution","ENSG00000177189.8",0.723535661649477,0.786966548020261,-0.466863968777324,-0.345625783209226,-0.466863968777324,"RPPA"
"91","RPTOR","Raptor","ENSG00000141564.9",1.01251543656871,1.01858094957293,0.0179439031492277,0.0265606400059789,0.0265606400059789,"RNA"
"92","SCD","SCD1","ENSG00000099194.5",1.14698466153995,0.999176803345193,0.197846098530543,-0.00118811082311618,0.197846098530543,"RPPA"
"93","SERPINE1","PAI-1","ENSG00000106366.7",1.06284349365579,1.0143096986988,0.0879291720807019,0.0204982169953418,0.0879291720807019,"RPPA"
"94","SETD2","SETD2_Caution","ENSG00000181555.15",0.977018603099235,0.995541532828303,-0.0335420625365912,-0.00644659013643099,-0.0335420625365912,"RPPA"
"95","SMAD1","Smad1","ENSG00000170365.5",1.12312070296842,1.04088078163602,0.167512984030808,0.0578048375211123,0.167512984030808,"RPPA"
"96","SMAD3","Smad3","ENSG00000166949.11",0.840249044340216,0.943081578041855,-0.251111098206707,-0.0845455231958969,-0.251111098206707,"RPPA"
"97","SMAD4","Smad4","ENSG00000141646.9",1.11824848567759,1.07162008357924,0.16124080465871,0.0997935245615603,0.16124080465871,"RPPA"
"98","SNAI2","Snail_Caution","ENSG00000019549.4",0.750768677026097,0.793959698816838,-0.413559634438585,-0.3328623164772,-0.413559634438585,"RPPA"
"99","SQSTM1","p62 Lck ligand_Caution","ENSG00000161011.15",0.976069964581788,0.989111613301801,-0.0349435311796309,-0.0157947681683617,-0.0349435311796309,"RPPA"
"100","SRSF1","SF2","ENSG00000136450.8",1.13803785360975,1.09423211771978,0.186548545611818,0.129918807200356,0.186548545611818,"RPPA"
"101","STAT5A","STAT5-alpha","ENSG00000126561.12",0.800393507746762,0.897469942610996,-0.321218629767068,-0.156064472800922,-0.321218629767068,"RPPA"
"102","STMN1","Stathmin","ENSG00000117632.16",0.954597313679683,0.98325561667887,-0.0670358183615367,-0.02436157254795,-0.0670358183615367,"RPPA"
"103","SYK","Syk","ENSG00000165025.10",0.956722063867323,0.969906441541173,-0.0638282248451663,-0.044082505148804,-0.0638282248451663,"RPPA"
"104","TFRC","TFRC","ENSG00000072274.8",0.652085842592292,0.782430392465448,-0.616866197102496,-0.353965683943355,-0.616866197102496,"RPPA"
"105","TGM2","Transglutaminase","ENSG00000198959.7",0.932570216786849,0.969525909019841,-0.100715739389307,-0.0446486423366348,-0.100715739389307,"RPPA"
"106","TP53","p53_Caution","ENSG00000141510.11",0.724146890629077,0.768715975607853,-0.465645722320287,-0.379477443737557,-0.465645722320287,"RPPA"
"107","TP53BP1","53BP1","ENSG00000067369.9",1.0310536540647,1.04896325803508,0.0441194097564467,0.0689641456187943,0.0689641456187943,"RNA"
"108","TSC1","TSC1_Caution","ENSG00000165699.9",0.856543363324605,0.957038183398866,-0.223401808916961,-0.0633516091507144,-0.223401808916961,"RPPA"
"109","TTF1","TTF1","ENSG00000125482.8",0.745217179448669,0.852699871394874,-0.424267161858862,-0.229890055855798,-0.424267161858862,"RPPA"
"110","TUBA1B","Acetyl-a-Tubulin (Lys40)_Caution","ENSG00000123416.11",1.0589201195509,1.01585817427924,0.0825937626310965,0.0226989990132189,0.0825937626310965,"RPPA"
"111","VAV1","VAV1_Caution","ENSG00000141968.3",1.11809308804462,0.986021345965801,0.161040306311362,-0.0203092156415178,0.161040306311362,"RPPA"
"112","VDAC1","Porin","ENSG00000213585.6",1.04438018842475,1.10753853068294,0.0626469955358418,0.147356890255017,0.147356890255017,"RNA"
"113","VHL","VHL_Caution","ENSG00000134086.7",1.75896746483543,0.997927030058749,0.814728797901019,-0.00299376752237836,0.814728797901019,"RPPA"
"114","WWTR1","TAZ","ENSG00000018408.10",0.831405718547487,0.927428410729641,-0.266375423793338,-0.108692172152772,-0.266375423793338,"RPPA"
"115","XBP1","XBP1_Caution","ENSG00000100219.12",1.08040954291952,1.068582319924,0.111578287889785,0.0956980525662556,0.111578287889785,"RPPA"
"116","XRCC1","XRCC1_Caution","ENSG00000073050.7",1.08276735932251,1.04361314062289,0.114723302405707,0.0615870150327764,0.114723302405707,"RPPA"
"117","XRCC5","Ku80_Caution","ENSG00000079246.11",0.967651786645097,1.051276915391,-0.0474401135637283,0.0721427376542877,0.0721427376542877,"RNA"
"118","YWHAB","14-3-3_beta","ENSG00000166913.8",1.0237621953511,1.00534878090772,0.0338806377688626,0.00769609562521452,0.0338806377688626,"RPPA"
"119","YWHAE","14-3-3_epsilon_Caution","ENSG00000108953.12",1.07595030083486,1.05369965172755,0.105611439980949,0.0754636974180417,0.105611439980949,"RPPA"
"120","YWHAZ","14-3-3_zeta","ENSG00000164924.13",0.906310942994933,0.907992803857303,-0.141921990582299,-0.139247231160293,-0.141921990582299,"RPPA"
"121","ACACA","ACC1_Caution, ACC_pS79","ENSG00000132142.15",0.892829098100797,1.24273579121149,-0.163544048229185,0.313519608357241,0.313519608357241,"RNA"
"122","BRAF","B-Raf_Caution, B-Raf_pS445","ENSG00000157764.8",1.20268516829252,0.956856574004905,0.266259031884246,-0.0636254036964366,0.266259031884246,"RPPA"
"123","CDKN1B","p27, p27_pT157_Caution","ENSG00000111276.6",0.924301951889016,1.04754772823843,-0.113563865183262,0.0670159773129125,-0.113563865183262,"RPPA"
"124","CHEK1","Chk1_Caution, Chk1_pS345_Caution","ENSG00000149554.8",1.04832458635172,1.01332913564848,0.0680854789147499,0.01910284664014,0.0680854789147499,"RPPA"
"125","CHEK2","Chk2, Chk2_pT68_Caution","ENSG00000183765.16",1.04947836889144,0.940917842188651,0.0696724311230088,-0.0878593377588607,-0.0878593377588607,"RNA"
"126","CTNNB1","beta-Catenin, beta-Catenin_pT41_S45","ENSG00000168036.12",2.31513767188687,0.676113741268819,1.2110979872837,-0.564662126248106,1.2110979872837,"RPPA"
