"","gene","ensembl","Antibody","max_FC_log2","is_max"
"262","AC003986.1","ENSG00000229533.1",NA,-2.26303440583379,0
"263","AC003986.2","ENSG00000232821.1",NA,-3.51440922089585,0
"264","AC003986.3","ENSG00000236536.1",NA,-1.14755718841386,0
"265","AC003989.1","ENSG00000227948.3",NA,1.42346612134942,0
"267","AC003991.1","ENSG00000228113.3",NA,-4.49892266965446,0
"268","AC003991.2","ENSG00000254003.1",NA,-1.60066740142703,0
"269","AC004000.1","ENSG00000237903.1",NA,-0.924382953355305,0
"270","AC004004.1","ENSG00000270317.1",NA,-0.777607578663552,0
"271","AC004012.1","ENSG00000233942.1",NA,-0.968587047368539,0
"272","AC004022.1","ENSG00000228751.1",NA,-1.96930320277708,0
"273","AC004023.1","ENSG00000261462.1",NA,-0.369949609750305,0
"274","AC004024.1","ENSG00000257624.1",NA,2.88110656983829,0
"275","AC004034.1","ENSG00000262482.1",NA,-2.39139658622624,0
"276","AC004039.1","ENSG00000230612.1",NA,-0.0614005446641439,0
"277","AC004053.1","ENSG00000248242.1",NA,-0.0614005446641439,0
"278","AC004057.1","ENSG00000196656.6",NA,0.264146652120171,0
"280","AC004066.1","ENSG00000250522.1",NA,3.50955509806313,0
"281","AC004067.1","ENSG00000273447.1",NA,0.12493684177391,0
"282","AC004069.1","ENSG00000251259.1",NA,-2.27330274128762,0
"283","AC004069.2","ENSG00000251473.2",NA,-0.263034405833794,0
"284","AC004076.1","ENSG00000268163.1",NA,-0.4285359543211,0
"285","AC004080.1","ENSG00000253308.2",NA,-3.13315412328688,0
"286","AC004080.2","ENSG00000253508.1",NA,-3.42722303772696,0
"287","AC004080.3","ENSG00000257184.2",NA,-6.664796674397,0
"288","AC004080.4","ENSG00000270182.1",NA,-2.97157159167348,0
"289","AC004080.5","ENSG00000272801.1",NA,-4.80099942701778,0
"290","AC004080.6","ENSG00000273433.1",NA,-3.40987579416306,0
"291","AC004083.1","ENSG00000254180.1",NA,0.184424571137427,0
"292","AC004112.1","ENSG00000226851.1",NA,-0.748461233004035,0
"294","AC004130.2","ENSG00000271133.1",NA,-2.66683602888292,0
"295","AC004134.1","ENSG00000267592.1",NA,-0.522901532588905,0
"298","AC004148.1","ENSG00000263272.1",NA,0.0941074276158917,0
"299","AC004156.1","ENSG00000267666.1",NA,0.499926396865357,0
"300","AC004158.1","ENSG00000260664.1",NA,-0.102569733640547,0
"301","AC004160.1","ENSG00000230333.2",NA,0.711654505637019,0
"302","AC004160.2","ENSG00000230435.1",NA,0.630050390249694,0
"303","AC004217.1","ENSG00000257494.1",NA,0.736965594166207,0
"304","AC004217.2","ENSG00000257658.1",NA,-1.84799690655495,0
"305","AC004221.1","ENSG00000267778.1",NA,-0.280107919192735,0
"306","AC004223.1","ENSG00000243423.1",NA,-0.843950073492248,0
"307","AC004223.2","ENSG00000267457.1",NA,-0.234237141526359,0
"308","AC004223.3","ENSG00000267618.1",NA,0.850128945747896,0
"309","AC004224.1","ENSG00000240311.1",NA,1.21739751141606,0
"310","AC004224.2","ENSG00000263212.2",NA,-0.792501793963246,0
"311","AC004231.1","ENSG00000234477.1",NA,-1.36366676894029,0
"313","AC004233.1","ENSG00000262362.1",NA,0.439497691268538,0
"314","AC004233.2","ENSG00000272079.1",NA,0.672176324241693,0
"315","AC004241.1","ENSG00000257433.1",NA,-0.23904077236162,0
"316","AC004253.1","ENSG00000263990.1",NA,-0.366675922781669,0
"318","AC004257.1","ENSG00000269635.1",NA,-2.72246602447109,0
"319","AC004264.1","ENSG00000268812.2",NA,-1.64672255075494,0
"320","AC004381.1","ENSG00000260510.1",NA,2.51225930699151,0
"321","AC004383.1","ENSG00000226107.1",NA,-0.941492626396829,0
"322","AC004386.1","ENSG00000213269.2",NA,-0.15200309344505,0
"323","AC004408.1","ENSG00000266101.1",NA,-0.263034405833793,0
"325","AC004448.2","ENSG00000235979.4",NA,-0.362570079384708,0
"326","AC004448.3","ENSG00000265126.1",NA,-1.14755718841386,0
"327","AC004449.1","ENSG00000261204.1",NA,0.229401479855811,0
"328","AC004453.1","ENSG00000146677.6",NA,0.300034062224228,0
"329","AC004461.2","ENSG00000237347.2",NA,1.2447602343649,0
"330","AC004466.1","ENSG00000268069.1",NA,0.342301885071645,0
"331","AC004471.1","ENSG00000223461.1",NA,-0.421151800647919,0
"332","AC004471.2","ENSG00000272682.1",NA,-0.774415774173842,0
"333","AC004477.1","ENSG00000263412.1",NA,0.544685894227761,0
"335","AC004486.1","ENSG00000257905.1",NA,0.383855844030564,0
"336","AC004490.1","ENSG00000267122.1",NA,-0.678071905112638,0
"337","AC004492.1","ENSG00000272072.1",NA,-0.122878380801839,0
"339","AC004522.3","ENSG00000235713.1",NA,4.52140799057505,0
"340","AC004522.4","ENSG00000237640.1",NA,-1.86393845042397,0
"341","AC004528.1","ENSG00000266990.1",NA,-2.64154602908752,0
"342","AC004540.1","ENSG00000214870.4",NA,-0.842164026582437,0
